Draw,Date,N1,N2,N3,N4,N5,N6,Special
2001,2002-01-03,3,11,13,14,18,21,22
2002,2002-01-08,12,17,21,35,36,43,14
2003,2002-01-10,10,21,28,32,40,42,45
2004,2002-01-15,4,11,13,27,29,35,42
2005,2002-01-17,14,16,31,36,42,43,39
2006,2002-01-22,6,9,26,31,34,44,37
2007,2002-01-24,1,13,16,28,38,45,17
2008,2002-01-29,9,12,21,29,31,33,47
2009,2002-01-31,2,23,27,30,39,44,26
2010,2002-02-05,1,9,18,21,38,45,35
2011,2002-02-08,12,15,27,37,44,45,33
2012,2002-02-15,1,6,8,17,32,47,40
2013,2002-02-19,1,7,8,19,30,37,16
2014,2002-02-21,11,15,31,32,33,43,1
2015,2002-02-26,18,22,29,31,37,41,13
2016,2002-02-28,8,10,17,24,27,38,12
2017,2002-03-05,3,7,15,19,28,29,1
2018,2002-03-07,24,30,36,37,39,41,14
2019,2002-03-12,1,8,16,23,33,40,11
2020,2002-03-14,8,15,18,21,39,45,28
2021,2002-03-19,13,19,26,33,38,46,9
2022,2002-03-21,2,32,34,39,40,45,20
2023,2002-03-26,7,10,14,21,29,30,43
2024,2002-03-28,7,21,26,36,41,46,13
2025,2002-04-02,3,6,13,24,31,37,27
2026,2002-04-04,1,10,11,19,27,37,31
2027,2002-04-09,11,17,18,24,32,38,5
2028,2002-04-11,2,6,8,32,44,45,4
2029,2002-04-16,1,10,12,19,24,39,3
2030,2002-04-18,3,7,16,21,34,45,39
2031,2002-04-23,11,16,22,31,34,41,35
2032,2002-04-25,2,4,13,22,29,42,23
2033,2002-04-30,7,15,26,29,34,42,22
2034,2002-05-02,10,20,26,31,36,40,47
2035,2002-05-07,3,4,5,6,37,46,9
2036,2002-05-09,2,5,9,15,17,44,39
2037,2002-05-14,2,13,16,30,39,40,15
2038,2002-05-16,3,10,20,30,36,38,40
2039,2002-05-21,7,14,35,41,44,45,27
2040,2002-05-23,9,12,31,36,41,43,28
2041,2002-05-28,12,14,22,25,27,40,24
2042,2002-05-30,2,15,33,34,35,44,21
2043,2002-06-04,4,8,15,24,41,45,28
2044,2002-06-06,3,8,12,13,32,42,11
2045,2002-06-11,7,25,29,31,36,43,34
2046,2002-06-13,1,9,13,30,31,47,2
2047,2002-06-18,32,33,36,41,42,43,17
2048,2002-06-20,1,3,6,17,29,34,32
2049,2002-06-25,11,12,19,34,35,39,8
2050,2002-06-27,6,12,29,32,39,44,24
2051,2002-06-29,5,10,13,22,35,41,34
2052,2002-07-02,4,26,31,33,36,38,28
2053,2002-07-04,5,32,34,38,39,49,8
2054,2002-07-06,10,20,21,33,40,44,34
2055,2002-07-09,10,20,26,28,35,48,13
2056,2002-07-11,14,19,23,36,44,46,7
2057,2002-07-13,9,24,25,27,36,38,41
2058,2002-07-16,7,13,14,20,29,32,28
2059,2002-07-18,11,22,24,28,29,38,20
2060,2002-07-20,1,11,29,33,36,44,37
2061,2002-07-23,9,12,25,31,43,44,5
2062,2002-07-25,1,5,6,31,39,46,44
2063,2002-07-27,1,23,25,32,43,44,30
2064,2002-07-30,6,22,25,26,27,45,36
2065,2002-08-01,3,7,11,22,28,36,18
2066,2002-08-03,9,10,11,15,19,28,37
2067,2002-08-06,5,10,24,32,39,49,1
2068,2002-08-08,5,15,26,27,28,35,2
2069,2002-08-10,5,28,29,31,44,46,45
2070,2002-08-13,7,14,26,32,41,49,12
2071,2002-08-15,4,23,24,25,38,40,37
2072,2002-08-17,10,17,36,43,45,47,33
2073,2002-08-20,2,6,16,26,36,41,8
2074,2002-08-22,1,3,8,25,43,46,21
2075,2002-08-24,2,7,12,19,23,49,4
2076,2002-08-27,22,24,28,33,36,39,41
2077,2002-08-29,3,7,31,32,35,47,15
2078,2002-08-31,3,4,23,25,31,44,35
2079,2002-09-03,10,37,40,42,43,46,30
2080,2002-09-05,15,22,34,40,41,47,10
2081,2002-09-10,8,14,16,22,37,46,36
2082,2002-09-12,11,23,32,33,43,48,2
2083,2002-09-17,5,13,19,27,29,35,40
2084,2002-09-20,15,19,25,34,38,44,5
2085,2002-09-24,1,10,34,41,47,48,19
2086,2002-09-26,10,12,15,17,34,42,29
2087,2002-09-30,7,15,24,41,47,49,25
2088,2002-10-03,6,10,11,32,35,46,22
2089,2002-10-08,5,9,20,30,32,42,2
2090,2002-10-10,5,9,18,25,47,48,17
2091,2002-10-15,1,12,14,33,36,37,13
2092,2002-10-17,5,7,16,37,42,44,38
2093,2002-10-22,1,13,18,30,32,46,19
2094,2002-10-24,8,12,19,22,29,41,1
2095,2002-10-29,8,10,14,25,43,44,41
2096,2002-10-31,2,3,8,22,27,28,45
2097,2002-11-04,1,3,12,23,31,48,34
2098,2002-11-07,6,7,29,32,42,46,1
2099,2002-11-12,5,8,9,26,33,38,28
2100,2002-11-14,2,6,14,25,45,49,42
2101,2002-11-19,3,15,22,23,42,47,18
2102,2002-11-21,4,16,18,25,29,41,21
2103,2002-11-26,19,21,40,42,46,47,33
2104,2002-11-28,17,19,26,31,37,43,38
2105,2002-12-03,9,11,14,17,24,28,46
2106,2002-12-05,11,21,27,31,37,44,1
2107,2002-12-10,5,36,37,38,46,49,17
2108,2002-12-12,7,15,16,23,31,35,8
2109,2002-12-17,6,18,39,40,41,42,9
2110,2002-12-20,13,18,23,24,26,33,15
2111,2002-12-23,1,11,18,19,39,40,42
2112,2002-12-27,10,14,22,34,40,43,4
2113,2002-12-31,10,18,19,28,40,44,24
3001,2003-01-02,5,6,16,23,26,27,46
3002,2003-01-07,9,10,12,26,38,43,15
3003,2003-01-09,8,17,21,22,23,49,24
3004,2003-01-14,7,11,13,28,32,33,20
3005,2003-01-16,2,34,36,39,40,42,29
3006,2003-01-21,16,20,21,43,44,49,6
3007,2003-01-23,6,14,23,27,36,38,49
3008,2003-01-28,5,10,25,30,41,46,48
3009,2003-01-30,4,5,6,7,8,28,23
3010,2003-02-04,7,12,20,27,28,43,46
3011,2003-02-06,4,11,18,26,31,46,16
3012,2003-02-11,11,22,23,28,38,40,29
3013,2003-02-13,4,8,12,24,39,40,18
3014,2003-02-18,10,16,19,20,40,49,24
3015,2003-02-20,1,13,16,24,41,48,35
3016,2003-02-25,13,19,23,28,42,45,15
3017,2003-02-27,4,9,12,21,25,34,36
3018,2003-03-04,9,32,33,38,42,44,43
3019,2003-03-06,15,20,35,40,45,48,30
3020,2003-03-11,10,20,22,31,35,39,17
3021,2003-03-13,2,3,20,21,43,49,32
3022,2003-03-18,8,10,22,23,24,35,33
3023,2003-03-20,13,14,21,23,39,42,36
3024,2003-03-25,13,23,28,30,34,42,20
3025,2003-03-27,9,21,22,26,37,48,35
3026,2003-04-01,12,17,30,40,43,48,18
3027,2003-04-03,21,29,32,38,41,43,7
3028,2003-04-08,6,11,13,24,40,47,42
3029,2003-04-10,7,11,13,23,31,33,28
3030,2003-04-15,9,15,27,28,37,39,33
3031,2003-04-17,12,18,26,34,38,45,43
3032,2003-04-22,7,14,26,27,31,36,43
3033,2003-04-24,11,14,17,20,42,47,27
3034,2003-04-29,19,30,37,41,47,49,3
3035,2003-05-02,3,8,10,19,31,35,36
3036,2003-05-06,7,19,30,34,37,44,48
3037,2003-05-09,11,20,23,29,32,33,35
3038,2003-05-13,9,17,20,29,34,35,18
3039,2003-05-15,8,29,31,32,36,38,12
3040,2003-05-20,6,28,39,40,43,45,42
3041,2003-05-22,8,14,17,23,28,43,26
3042,2003-05-27,1,27,28,29,31,49,6
3043,2003-05-29,13,16,19,31,39,47,29
3044,2003-06-03,2,12,21,37,47,49,11
3045,2003-06-05,9,27,30,33,44,48,37
3046,2003-06-10,10,19,26,30,32,44,29
3047,2003-06-12,3,14,27,31,38,44,26
3048,2003-06-17,3,11,18,22,24,37,49
3049,2003-06-19,3,4,10,24,26,47,12
3050,2003-06-24,2,10,21,22,37,44,47
3051,2003-06-26,7,9,26,29,37,40,11
3052,2003-06-30,14,16,18,32,44,47,2
3053,2003-07-03,5,6,12,20,39,47,38
3054,2003-07-05,1,12,13,16,36,46,49
3055,2003-07-08,1,6,15,21,23,33,30
3056,2003-07-10,24,28,29,30,42,49,47
3057,2003-07-12,14,17,28,31,37,43,39
3058,2003-07-15,1,4,5,7,9,27,21
3059,2003-07-17,12,16,21,24,30,39,7
3060,2003-07-19,5,7,10,23,31,34,38
